ps_slug,type,ref,title,date,scope,permalink,image_url
,?,"M107 / III / D - 18 / O.S. / ""F""",[untitled],ca. 1899 - 1906,"1 map; Tongue and moraines of the Illecillewaet Glacier, British Columbia. Showing the position of marked rocks on Moraines and of line old plates placed on glacier to determine Rate of Flow. 1906. Drawing of Tongue and moraines of the Illecillewaet Glacier detailing movement between 1899 – 1906. 6…",https://archives.whyte.org/en/permalink/descriptions24804,
,?,"M107 / III / D - 39 / O.S. / ""F""",[untitled],1906,"Map; Tongues and Moraines of the Moraines of the Illecillewaet Glacier. 1906
with annotations.  Plate XXVIII section thro Glacier at line of plates. 33 x 43 cm",https://archives.whyte.org/en/permalink/descriptions24824,
,?,"M107 / III / D - 40 / O.S. / ""F""",[untitled],1906,"Map; Tongue and moraines. Aslukan Glacier. Glacier House, British Columbia. July 1906. Plate XXIX.",https://archives.whyte.org/en/permalink/descriptions24825,
,?,"M107 / III / D - 41 / O.S. / ""F""",[untitled],1906,"Map; Tongue and moraines. Aslukan Glacier. Glacier House, British Columbia. July 1906. Plate XXIX.",https://archives.whyte.org/en/permalink/descriptions24826,
wmcr-vaux-1v-v653-ps-110,PS,V653 / PS - 110,Untitled,[1906],"ACC camp at Summit Lake, Rocky Mountains?",https://archives.whyte.org/en/permalink/descriptions34207,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-110.jpg
wmcr-vaux-1v-v653-ps-132,PS,V653 / PS - 132,Untitled,[between 1900 and 1906],"Victoria Glacier, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions34229,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-132.jpg
wmcr-vaux-1n-v653-na-0445,NA,V653 / NA - 445,Untitled,1906,"Terminus of Yoho Glacier?, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35014,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0445.jpg
wmcr-vaux-1n-v653-na-0446,NA,V653 / NA - 446,Untitled,1906,"Ice cave at terminus of Yoho Glacier, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35015,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0446.jpg
wmcr-vaux-1n-v653-na-0447,NA,V653 / NA - 447,Untitled,1906,"Terminus of Yoho Glacier, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35016,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0447.jpg
wmcr-vaux-1n-v653-na-1406,NA,V653 / NA - 1406,"Wapta Glacier (end), wide angle (No.19) 1906",1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35056,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1406.jpg
wmcr-vaux-1n-v653-na-1415,NA,V653 / NA - 1415,Wapta Glacier (No.29) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35063,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1415.jpg
wmcr-vaux-1n-v653-na-1407,NA,V653 / NA - 1407,Wapta Glacier panorama 1906 (No.20) : [pan 1 of 3],1906,Portion of 3-part panorama No.20 to 22 : WMCR-V653/NA-1407 to 1409 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35057,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1407.jpg
wmcr-vaux-1n-v653-na-1408,NA,V653 / NA - 1408,Wapta Glacier panorama 1906 (No.21) : [pan 2 of 3],1906,Portion of 3-part panorama No.20 to 22 : WMCR-V653/NA-1407 to 1409 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36623,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1408.jpg
wmcr-vaux-1n-v653-na-1409,NA,V653 / NA - 1409,Wapta Glacier panorama 1906 (No.22) : [pan 3 of 3],1906,Portion of 3-part panorama No.20 to 22 : WMCR-V653/NA-1407 to 1409 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36624,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1409.jpg
wmcr-vaux-1n-v653-na-1414,NA,V653 / NA - 1414,Yoho Glacier (No.28) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35061,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1414.jpg
